               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084139,            0.023634,            0.021846,           0.0033355,             0.49973,            0.012585,           0.0044654,            0.027827,            0.014454,           0.0097699,              0.0802,              0.0022,              0.0022
                   1,            0.062004,            0.025958,            0.023089,             0.35918,              0.4107,             0.29088,             0.14365,             0.01753,            0.012016,           0.0086807,            0.059455,           0.0044554,           0.0044554
                   2,            0.048248,            0.024393,            0.018203,             0.40559,             0.68422,              0.4662,             0.25334,            0.017442,            0.010616,            0.008373,            0.038665,           0.0066654,           0.0066654
                   3,            0.043767,            0.019901,            0.018088,             0.34315,              0.7077,             0.43214,             0.22606,            0.025216,           0.0067724,           0.0083954,             0.01783,           0.0088297,           0.0088297
                   4,            0.046412,            0.016373,             0.01597,             0.35279,             0.67861,             0.43964,             0.23093,            0.025405,           0.0048495,           0.0082721,            0.009604,            0.009604,            0.009604
                   5,            0.045271,            0.018466,            0.018147,             0.27035,             0.53369,             0.41721,             0.23707,            0.019413,           0.0047817,           0.0080687,            0.009604,            0.009604,            0.009604
                   6,            0.035927,            0.017436,            0.015866,             0.30162,             0.83509,             0.53361,             0.31265,            0.017368,           0.0041745,           0.0077965,            0.009505,            0.009505,            0.009505
                   7,            0.040336,            0.016536,            0.016359,             0.42316,             0.86287,              0.7119,              0.4221,            0.013439,           0.0042534,            0.007515,            0.009406,            0.009406,            0.009406
                   8,             0.03968,            0.016412,            0.015258,             0.45527,             0.89706,             0.64702,             0.36943,            0.015164,           0.0037725,           0.0069759,            0.009307,            0.009307,            0.009307
                   9,            0.033011,            0.016639,            0.014256,             0.67238,             0.84385,             0.85807,             0.54177,            0.011796,            0.003806,           0.0059297,            0.009208,            0.009208,            0.009208
                  10,            0.035162,            0.015773,            0.014655,             0.73345,             0.92513,             0.85403,             0.57197,           0.0097481,           0.0036996,           0.0056332,            0.009109,            0.009109,            0.009109
                  11,            0.028271,            0.015443,            0.011395,             0.55435,             0.87406,             0.69331,             0.44895,            0.014207,           0.0035018,           0.0047226,             0.00901,             0.00901,             0.00901
                  12,            0.033883,            0.013946,            0.011907,             0.79805,             0.73392,             0.87962,             0.49972,            0.014121,           0.0036116,           0.0051757,            0.008911,            0.008911,            0.008911
                  13,            0.029087,            0.014632,            0.010134,             0.82112,             0.88182,              0.9629,             0.57084,            0.010519,           0.0038318,           0.0041939,            0.008812,            0.008812,            0.008812
                  14,            0.027838,            0.015411,             0.01061,             0.65192,             0.90909,             0.92812,             0.63875,            0.014695,            0.003687,           0.0047344,            0.008713,            0.008713,            0.008713
                  15,             0.02862,            0.013528,           0.0089842,             0.87792,             0.86106,             0.96408,             0.61596,           0.0097312,           0.0035982,           0.0037198,            0.008614,            0.008614,            0.008614
                  16,            0.025624,             0.01355,           0.0078995,             0.91588,             0.92519,             0.97123,             0.60572,            0.012761,           0.0034485,           0.0034136,            0.008515,            0.008515,            0.008515
                  17,             0.02764,            0.013548,           0.0082676,             0.92893,             0.93759,             0.98609,             0.61796,            0.009441,            0.003474,           0.0030005,            0.008416,            0.008416,            0.008416
                  18,            0.027855,            0.014267,            0.010309,             0.88764,             0.95422,             0.93763,             0.58534,             0.01155,           0.0033496,           0.0026435,            0.008317,            0.008317,            0.008317
                  19,            0.024527,            0.012884,           0.0084394,             0.92206,             0.89412,             0.97478,             0.62891,           0.0082171,           0.0032292,           0.0033235,            0.008218,            0.008218,            0.008218
                  20,            0.026939,            0.013859,           0.0080533,             0.81064,             0.93075,              0.9684,             0.62407,           0.0095832,           0.0033919,           0.0043075,            0.008119,            0.008119,            0.008119
                  21,            0.024297,            0.014098,           0.0064114,              0.8436,             0.89694,              0.9818,             0.62654,           0.0096539,           0.0030681,           0.0038646,             0.00802,             0.00802,             0.00802
                  22,            0.024489,            0.013442,           0.0088564,             0.81282,             0.82667,             0.93391,             0.64301,            0.010382,           0.0031589,           0.0054995,            0.007921,            0.007921,            0.007921
                  23,            0.025246,            0.013505,           0.0082185,             0.72472,             0.87279,             0.89018,             0.56335,            0.010804,           0.0031461,           0.0057347,            0.007822,            0.007822,            0.007822
                  24,            0.023312,            0.013904,           0.0086398,             0.87798,             0.88246,             0.97338,             0.69341,           0.0073969,           0.0031521,           0.0038531,            0.007723,            0.007723,            0.007723
                  25,             0.02262,             0.01348,           0.0077246,             0.94426,             0.96211,             0.99221,             0.74609,           0.0067015,           0.0030042,           0.0023099,            0.007624,            0.007624,            0.007624
                  26,            0.023312,            0.013185,           0.0084961,             0.94935,             0.95256,             0.98717,             0.67848,            0.010207,           0.0029119,           0.0019279,            0.007525,            0.007525,            0.007525
                  27,            0.023528,            0.012853,           0.0092745,             0.92686,             0.96405,             0.98734,             0.67975,           0.0071788,           0.0032898,           0.0017992,            0.007426,            0.007426,            0.007426
                  28,            0.021807,            0.013454,           0.0070941,             0.93114,             0.94486,             0.98368,             0.64461,           0.0094147,           0.0037481,           0.0023406,            0.007327,            0.007327,            0.007327
                  29,            0.022579,            0.013102,           0.0093713,             0.93341,             0.95195,             0.98042,             0.68377,           0.0076846,           0.0034731,            0.002207,            0.007228,            0.007228,            0.007228
                  30,            0.021444,            0.012984,           0.0073545,             0.97531,             0.96099,             0.99177,             0.73831,           0.0074926,           0.0031252,           0.0014976,            0.007129,            0.007129,            0.007129
                  31,            0.019071,            0.012682,           0.0076934,             0.97483,             0.99302,               0.995,             0.69735,           0.0073738,           0.0031227,           0.0011191,             0.00703,             0.00703,             0.00703
                  32,            0.022186,            0.013078,           0.0075896,             0.97386,             0.99322,               0.995,             0.74346,           0.0066578,           0.0032314,           0.0011888,            0.006931,            0.006931,            0.006931
                  33,            0.020777,            0.013087,           0.0077752,             0.98253,                   1,               0.995,             0.71794,           0.0067538,           0.0029109,          0.00095272,            0.006832,            0.006832,            0.006832
                  34,            0.019667,            0.012015,           0.0081451,             0.99555,                   1,               0.995,             0.76979,            0.006509,           0.0026593,          0.00079023,            0.006733,            0.006733,            0.006733
                  35,            0.019756,            0.011914,           0.0056952,             0.95102,             0.97528,             0.99348,             0.74505,           0.0059377,            0.002797,           0.0011009,            0.006634,            0.006634,            0.006634
                  36,            0.021599,            0.012523,           0.0071408,             0.94368,              0.9682,              0.9933,             0.71897,           0.0072763,           0.0028683,           0.0013802,            0.006535,            0.006535,            0.006535
                  37,            0.020763,            0.012153,           0.0063047,             0.97194,             0.98066,             0.99289,              0.7471,           0.0059939,           0.0029613,           0.0014335,            0.006436,            0.006436,            0.006436
                  38,            0.022117,            0.012221,           0.0068825,             0.95147,             0.98624,             0.99278,             0.74905,           0.0058338,           0.0030029,           0.0012997,            0.006337,            0.006337,            0.006337
                  39,            0.022258,            0.012588,           0.0084196,              0.9816,             0.99091,             0.99334,             0.69746,            0.008805,           0.0028451,          0.00077336,            0.006238,            0.006238,            0.006238
                  40,            0.020777,            0.012298,           0.0058131,             0.98023,             0.99244,             0.99471,             0.76273,           0.0067381,           0.0026784,          0.00081494,            0.006139,            0.006139,            0.006139
                  41,            0.018293,            0.011583,           0.0063181,             0.99312,                   1,               0.995,              0.7868,           0.0057313,           0.0026052,          0.00070676,             0.00604,             0.00604,             0.00604
                  42,            0.017298,            0.012028,           0.0058152,             0.98239,             0.93354,             0.99242,             0.77404,           0.0063377,           0.0026912,           0.0012958,            0.005941,            0.005941,            0.005941
                  43,            0.019488,            0.011488,           0.0054905,             0.98562,             0.97427,             0.99377,             0.79747,           0.0061866,           0.0026718,           0.0010328,            0.005842,            0.005842,            0.005842
                  44,            0.019229,            0.012419,           0.0057761,             0.98285,             0.94332,             0.99182,             0.76878,           0.0060247,           0.0029048,           0.0012936,            0.005743,            0.005743,            0.005743
                  45,            0.017413,            0.011402,           0.0051576,             0.96093,             0.96337,             0.99032,              0.7357,           0.0072743,           0.0028827,           0.0013553,            0.005644,            0.005644,            0.005644
                  46,            0.019725,            0.010857,           0.0059589,             0.98503,             0.98529,             0.99225,             0.80048,           0.0063313,           0.0025837,           0.0010821,            0.005545,            0.005545,            0.005545
                  47,            0.019549,            0.012285,           0.0064471,             0.96763,             0.98529,             0.99015,             0.77813,           0.0063851,           0.0026691,            0.001254,            0.005446,            0.005446,            0.005446
                  48,            0.018706,            0.011881,           0.0060686,             0.89322,             0.98736,             0.98916,             0.74353,           0.0066127,           0.0027986,            0.001754,            0.005347,            0.005347,            0.005347
                  49,              0.0203,            0.012114,           0.0062031,             0.97894,             0.93829,             0.98993,             0.75011,           0.0061981,           0.0029459,           0.0014518,            0.005248,            0.005248,            0.005248
                  50,            0.018086,            0.012078,           0.0065207,             0.96899,             0.99536,              0.9942,             0.76112,           0.0056694,           0.0030496,           0.0010748,            0.005149,            0.005149,            0.005149
                  51,            0.017154,            0.010977,           0.0049466,               0.993,             0.97288,             0.99471,             0.79365,           0.0057563,           0.0028412,          0.00097252,             0.00505,             0.00505,             0.00505
                  52,            0.018094,            0.011447,           0.0061855,             0.97697,             0.98164,             0.99471,             0.77092,           0.0060392,           0.0027457,           0.0010801,            0.004951,            0.004951,            0.004951
                  53,            0.017684,            0.012084,           0.0060588,             0.98312,             0.97679,             0.99471,              0.7726,           0.0059253,           0.0028895,           0.0010527,            0.004852,            0.004852,            0.004852
                  54,            0.020542,            0.011171,           0.0035077,             0.95147,             0.99412,             0.99393,             0.77605,           0.0056517,           0.0029696,           0.0010963,            0.004753,            0.004753,            0.004753
                  55,            0.017482,            0.011043,           0.0049583,             0.97673,             0.99726,              0.9942,             0.75156,           0.0067167,           0.0030915,          0.00090634,            0.004654,            0.004654,            0.004654
                  56,            0.018125,            0.012013,           0.0043644,             0.98337,             0.99787,             0.99471,             0.77979,           0.0059713,           0.0030185,          0.00063763,            0.004555,            0.004555,            0.004555
                  57,            0.016929,            0.011451,           0.0046533,              0.9799,                   1,               0.995,             0.78221,           0.0053626,           0.0029049,          0.00055211,            0.004456,            0.004456,            0.004456
                  58,            0.018028,            0.011561,            0.005265,              0.9943,             0.99283,               0.995,             0.80246,           0.0052286,           0.0026761,          0.00054885,            0.004357,            0.004357,            0.004357
                  59,            0.015516,             0.01088,           0.0056996,             0.98732,             0.99125,               0.995,             0.76727,           0.0068406,           0.0027193,          0.00057216,            0.004258,            0.004258,            0.004258
                  60,            0.015147,            0.010889,           0.0053346,             0.99442,                   1,               0.995,             0.79281,           0.0053173,           0.0026524,          0.00049821,            0.004159,            0.004159,            0.004159
                  61,            0.015332,            0.010448,           0.0052885,              0.9907,                   1,               0.995,             0.79846,           0.0062734,           0.0026043,          0.00055686,             0.00406,             0.00406,             0.00406
                  62,            0.015716,            0.011079,           0.0037158,             0.99359,             0.99907,               0.995,             0.79302,           0.0053257,           0.0026059,           0.0006116,            0.003961,            0.003961,            0.003961
                  63,            0.018703,            0.010641,           0.0057279,             0.99608,                   1,               0.995,             0.78575,           0.0062528,           0.0026552,          0.00063131,            0.003862,            0.003862,            0.003862
                  64,            0.015879,            0.010824,           0.0032928,             0.98038,             0.99646,               0.995,             0.79187,           0.0053243,           0.0026559,          0.00071049,            0.003763,            0.003763,            0.003763
                  65,            0.014214,            0.010323,           0.0045669,             0.98709,             0.97272,             0.99491,             0.79006,           0.0055286,           0.0025573,          0.00075814,            0.003664,            0.003664,            0.003664
                  66,             0.01525,            0.010501,           0.0044462,             0.97615,             0.97315,             0.99382,             0.80111,           0.0057227,           0.0025185,          0.00090106,            0.003565,            0.003565,            0.003565
                  67,            0.016084,            0.011127,           0.0041423,             0.98821,             0.98529,             0.99391,             0.79254,           0.0055265,           0.0024968,          0.00061501,            0.003466,            0.003466,            0.003466
                  68,            0.015184,            0.011214,            0.004983,             0.98552,             0.98529,             0.99409,             0.78333,           0.0056894,           0.0025062,          0.00050218,            0.003367,            0.003367,            0.003367
                  69,            0.014841,            0.010642,             0.00376,             0.96911,             0.99694,             0.99391,             0.79736,           0.0051961,            0.002558,          0.00049754,            0.003268,            0.003268,            0.003268
                  70,            0.015803,            0.011288,           0.0046861,             0.96925,             0.99614,             0.99409,             0.80651,           0.0052695,           0.0025678,          0.00048372,            0.003169,            0.003169,            0.003169
                  71,            0.016108,            0.011069,           0.0038793,             0.97295,             0.99831,             0.99445,             0.80147,           0.0055706,           0.0025504,          0.00036285,             0.00307,             0.00307,             0.00307
                  72,            0.016263,            0.010667,           0.0037305,             0.97538,             0.99806,             0.99463,             0.80875,           0.0052062,           0.0025412,          0.00034053,            0.002971,            0.002971,            0.002971
                  73,            0.016588,            0.010743,           0.0043226,             0.96756,             0.98355,               0.994,              0.7991,           0.0053232,            0.002556,          0.00038497,            0.002872,            0.002872,            0.002872
                  74,            0.015053,            0.011579,           0.0033953,             0.98074,             0.98471,             0.99312,             0.81275,           0.0049068,           0.0025857,          0.00048084,            0.002773,            0.002773,            0.002773
                  75,            0.014812,             0.01063,           0.0040288,             0.98701,             0.98529,             0.99337,             0.81343,           0.0050711,           0.0026357,          0.00042611,            0.002674,            0.002674,            0.002674
                  76,            0.014296,            0.010856,           0.0027431,             0.98959,             0.99024,             0.99455,             0.80394,           0.0051525,           0.0026537,          0.00036519,            0.002575,            0.002575,            0.002575
                  77,            0.013641,             0.01089,           0.0062095,             0.98361,             0.99553,             0.99491,             0.78704,           0.0053128,           0.0026804,          0.00039196,            0.002476,            0.002476,            0.002476
                  78,            0.015404,            0.010017,           0.0022474,             0.97479,             0.98903,             0.99473,             0.80874,           0.0050507,           0.0025926,          0.00053441,            0.002377,            0.002377,            0.002377
                  79,            0.015223,            0.010234,            0.004411,             0.97167,                   1,               0.995,             0.81068,           0.0047649,           0.0025564,           0.0004679,            0.002278,            0.002278,            0.002278
                  80,             0.01461,            0.010416,           0.0028183,             0.97846,                   1,               0.995,             0.81756,           0.0049276,           0.0025508,          0.00037489,            0.002179,            0.002179,            0.002179
                  81,            0.014199,            0.010802,           0.0030906,             0.99234,             0.99157,               0.995,             0.82093,           0.0047683,           0.0025982,          0.00034553,             0.00208,             0.00208,             0.00208
                  82,            0.015042,             0.01066,           0.0035938,             0.99699,             0.98144,               0.995,             0.82049,           0.0048575,           0.0026216,          0.00036935,            0.001981,            0.001981,            0.001981
                  83,            0.012812,            0.009847,           0.0027301,             0.99675,                   1,               0.995,             0.81773,           0.0052373,           0.0026033,          0.00026325,            0.001882,            0.001882,            0.001882
                  84,            0.014787,            0.010116,           0.0049906,             0.99745,                   1,               0.995,             0.81714,           0.0047572,           0.0025858,           0.0002467,            0.001783,            0.001783,            0.001783
                  85,            0.014033,            0.010318,           0.0035694,             0.99757,                   1,               0.995,             0.80841,           0.0050639,           0.0025649,          0.00024741,            0.001684,            0.001684,            0.001684
                  86,            0.012811,           0.0099041,           0.0032461,             0.99762,                   1,               0.995,             0.81809,           0.0049173,           0.0025303,          0.00025024,            0.001585,            0.001585,            0.001585
                  87,            0.013774,            0.010236,           0.0038402,             0.99683,                   1,               0.995,             0.81474,           0.0047201,           0.0025289,          0.00025016,            0.001486,            0.001486,            0.001486
                  88,            0.013272,           0.0097813,           0.0037632,             0.99571,                   1,               0.995,             0.82313,           0.0046111,           0.0025065,          0.00024737,            0.001387,            0.001387,            0.001387
                  89,            0.012465,           0.0097008,           0.0037448,             0.99701,                   1,               0.995,             0.82398,           0.0046107,           0.0024922,          0.00026427,            0.001288,            0.001288,            0.001288
                  90,            0.012413,           0.0098736,           0.0021097,             0.99494,             0.99521,               0.995,             0.81616,           0.0047508,           0.0024973,          0.00028688,            0.001189,            0.001189,            0.001189
                  91,            0.014633,            0.010906,           0.0027151,             0.98477,             0.99857,             0.99438,             0.81293,           0.0047387,           0.0024973,          0.00035216,             0.00109,             0.00109,             0.00109
                  92,            0.013148,            0.010121,           0.0037089,             0.98571,             0.99854,             0.99491,             0.81551,           0.0046349,           0.0025019,          0.00033125,            0.000991,            0.000991,            0.000991
                  93,            0.015309,            0.010427,           0.0050051,             0.98585,             0.99836,               0.995,             0.81895,           0.0046242,           0.0024851,          0.00032517,            0.000892,            0.000892,            0.000892
                  94,             0.01366,             0.01037,           0.0049149,             0.98934,             0.99823,               0.995,             0.83402,           0.0046032,           0.0024674,          0.00029562,            0.000793,            0.000793,            0.000793
                  95,            0.014788,           0.0097502,           0.0030275,              0.9852,             0.99855,             0.99491,             0.82763,           0.0045843,           0.0024311,          0.00032257,            0.000694,            0.000694,            0.000694
                  96,            0.014644,           0.0097495,           0.0062679,             0.97871,                   1,               0.995,             0.82871,           0.0045841,            0.002426,          0.00033725,            0.000595,            0.000595,            0.000595
                  97,            0.012683,           0.0099788,           0.0034558,             0.99272,             0.99854,               0.995,             0.83106,           0.0046008,           0.0024425,           0.0003141,            0.000496,            0.000496,            0.000496
                  98,            0.012667,             0.01003,           0.0023804,             0.99693,             0.98638,               0.995,             0.82751,           0.0046013,           0.0024511,          0.00033877,            0.000397,            0.000397,            0.000397
                  99,            0.012255,           0.0098791,            0.002726,             0.99296,              0.9897,               0.995,             0.82948,           0.0045394,           0.0024343,          0.00033851,            0.000298,            0.000298,            0.000298
